id,ticker,underlying,description,exchange_group,exchange,expiry_posix_datetime,min_order_size,tick_size,tradeable_tick_size,currency,tt_symbol_id
57,CLH8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0CS00CLZ
58,CLH9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0CT00CLZ
59,CLH0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0CU00CLZ
60,CLJ6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0DQ00CLZ
61,CLJ7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0DR00CLZ
62,CLJ8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0DS00CLZ
63,CLJ9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0DT00CLZ
64,CLJ0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0DU00CLZ
65,CLK6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0EQ00CLZ
66,CLK7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0ER00CLZ
67,CLK8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0ES00CLZ
68,CLK9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0ET00CLZ
69,CLK0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0EU00CLZ
70,CLM6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FQ00CLZ
71,CLM7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FR00CLZ
72,CLM8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FS00CLZ
73,CLM9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FT00CLZ
74,CLM0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FU00CLZ
75,CLM1,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FV00CLZ
76,CLM2,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FW00CLZ
77,CLM3,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0FX00CLZ
78,CLN6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0GQ00CLZ
79,CLN7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0GR00CLZ
80,CLN8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0GS00CLZ
81,CLN9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0GT00CLZ
82,CLN0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0GU00CLZ
83,CLQ6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0HQ00CLZ
84,CLQ7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0HR00CLZ
85,CLQ8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0HS00CLZ
86,CLQ9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0HT00CLZ
87,CLQ0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0HU00CLZ
88,CLU6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0IQ00CLZ
89,CLU7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0IR00CLZ
90,CLU8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0IS00CLZ
91,CLU9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0IT00CLZ
92,CLU0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0IU00CLZ
93,CLV6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0JQ00CLZ
94,CLV7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0JR00CLZ
95,CLV8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0JS00CLZ
96,CLV9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0JT00CLZ
97,CLV0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0JU00CLZ
98,CLX5,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0KP00CLZ
99,CLX6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0KQ00CLZ
100,CLX7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0KR00CLZ
101,CLX8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0KS00CLZ
102,CLX9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0KT00CLZ
103,CLX0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0KU00CLZ
104,CLZ5,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0LP00CLZ
105,CLZ6,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0LQ00CLZ
106,CLZ7,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0LR00CLZ
107,CLZ8,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0LS00CLZ
108,CLZ9,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0LT00CLZ
109,CLZ0,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0LU00CLZ
110,CLZ1,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0LV00CLZ
111,CLZ2,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0LW00CLZ
112,CLZ3,CL,CRUDE OIL FUTURE NYMEX,CME,NYMEX,,1,1,1,USD,00A0LX00CLZ
113,ESH6,ES,E-MINI S&P 500 FUTURES,CME,CME,,1,5,5,USD,00A0CQ00ESZ
114,ESZ5,ES,E-MINI S&P 500 FUTURES,CME,CME,,1,5,5,USD,00A0LP00ESZ
115,ESM6,ES,E-MINI S&P 500 FUTURES,CME,CME,,1,5,5,USD,00A0FQ00ESZ
116,ESU6,ES,E-MINI S&P 500 FUTURES,CME,CME,,1,5,5,USD,00A0IQ00ESZ
117,ESZ6,ES,E-MINI S&P 500 FUTURES,CME,CME,,1,5,5,USD,00A0LQ00ESZ
118,NGF6,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0AQ00NGZ
119,NGF7,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0AR00NGZ
120,NGF8,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0AS00NGZ
121,NGF9,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0AT00NGZ
122,NGF0,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0AU00NGZ
123,NGF1,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0AV00NGZ
124,NGF2,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0AW00NGZ
125,NGF3,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0AX00NGZ
126,NGF4,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0AY00NGZ
127,NGG6,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0BQ00NGZ
128,NGG7,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0BR00NGZ
129,NGG8,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0BS00NGZ
130,NGG9,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0BT00NGZ
131,NGG0,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0BU00NGZ
132,NGG1,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0BV00NGZ
133,NGG2,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0BW00NGZ
134,NGG3,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0BX00NGZ
135,NGG4,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0BY00NGZ
136,NGH6,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0CQ00NGZ
137,NGH7,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0CR00NGZ
138,NGH8,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0CS00NGZ
139,NGH9,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0CT00NGZ
140,NGH0,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0CU00NGZ
141,NGH1,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0CV00NGZ
142,NGH2,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0CW00NGZ
143,NGH3,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0CX00NGZ
144,NGH4,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0CY00NGZ
145,NGJ6,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0DQ00NGZ
146,NGJ7,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0DR00NGZ
147,NGJ8,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0DS00NGZ
148,NGJ9,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0DT00NGZ
149,NGJ0,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0DU00NGZ
150,NGJ1,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0DV00NGZ
151,NGJ2,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0DW00NGZ
152,NGJ3,NG,NATURAL GAS HENRY HUB FUTURE,CME,NYMEX,,1,1,1,USD,00A0DX00NGZ
